,logP14k.csv_ESOL.csv
0,O=C1CCCCC1
1,CNC(=O)Oc1ccccc1C(C)C
2,CCOC(=O)CC
3,CCCCOCCO
4,CC1CO1
5,Cc1cccc2ccccc12
6,C1CCCC1
7,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
8,CCC(=O)Nc1ccc(Cl)c(Cl)c1
9,CC(C)(C)CO
10,CCNc1nc(NC(C)C)nc(SC)n1
11,CCCCCCl
12,c1ccc2ccccc2c1
13,CCCOC(=O)c1ccc(N)cc1
14,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
15,c1ccc2cc3ccccc3cc2c1
16,c1ccncc1
17,CC(C)OC(C)C
18,Fc1cccc(Br)c1
19,CCCCCCCCCCCCCCO
20,CCCCCCCBr
21,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
22,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
23,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
24,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
25,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
26,Clc1cccc(Cl)c1
27,Oc1cc(Cl)cc(Cl)c1
28,CC12CCC(CC1)C(C)(C)O2
29,CCCCCCCCCCO
30,C=CCC=C
31,NC(=S)Nc1ccccc1
32,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
33,FC(F)(Cl)C(F)(Cl)Cl
34,NC(=O)c1ccccc1O
35,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
36,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
37,CC(C)Cl
38,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C
39,CNC(=O)Oc1ccccc1OC(C)C
40,Cc1ccc(Br)cc1
41,Oc1ccc2ccccc2c1
42,CCCCl
43,Cc1cccc(O)c1
44,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
45,CCCCCCO
46,BrC(Br)Br
47,CCCCC(=O)OC
48,Nc1ccc(Cl)cc1
49,CC(O)C(C)(C)C
50,Clc1cc(Cl)c(Cl)cc1Cl
51,CCCCCO
52,Cc1ccccc1C
53,Cc1ccc(O)cc1
54,Nc1cccc2ccccc12
55,CCCCCCCCC(=O)OC
56,CCCCCCCI
57,CC(C)(C)c1ccccc1
58,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
59,COC(C)(C)C
60,CCNc1ccccc1
61,CCOC(C)OCC
62,Oc1cccc(Cl)c1Cl
63,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
64,CCCC(=O)OC
65,CCCOC=O
66,CCCCCCCCO
67,COC(=O)c1ccccc1C(=O)OC
68,CCOP(=S)(OCC)SCSC(C)(C)C
69,CCOC(=O)c1ccc(N)cc1
70,COC(=O)c1ccc(O)cc1
71,CCCCCCCC
72,Cc1ccc(N)cc1
73,CNC(=O)ON=C(SC)C(=O)N(C)C
74,Clc1ccc(Cl)cc1
75,Cc1cccc(C)n1
76,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
77,CCCCC(C)O
78,Oc1ccc(Cl)c(Cl)c1Cl
79,CC1(C)CON(Cc2ccccc2Cl)C1=O
80,CCOCC
81,CCC(C)(C)C
82,CCOC(=O)c1ccccc1
83,OCCOc1ccccc1
84,Cc1c(C)c(C)c(C)c(C)c1C
85,CCSCCSP(=S)(OC)OC
86,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
87,O=Cc1ccccc1
88,CNC(=O)Oc1cc(C)cc(C)c1
89,CCCCCCCCCC(=O)OC
90,CC(C)O
91,ClCC(Cl)Cl
92,COc1ccccc1Cl
93,ClC(Cl)C(Cl)Cl
94,CCC(C)Cl
95,Cc1cncc(C)c1
96,CCCC(O)CC
97,CN(C)C(=O)Nc1ccccc1
98,CCCCCc1ccccc1
99,N#Cc1ccccc1C#N
100,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
101,CCSCC
102,Cc1cc(C)cc(C)c1
103,COc1cccc(Cl)c1
104,CCC(Br)(CC)C(=O)NC(N)=O
105,Oc1ccc(Cl)cc1Cl
106,c1ccnnc1
107,CCCC(O)CCC
108,Cc1ccccc1O
109,CCCBr
110,CC1CCCC1
111,Fc1ccc(F)cc1
112,CCSC(=O)N(CC(C)C)CC(C)C
113,CCCCCCCCC
114,CCCCCCCCCO
115,CCOC(=O)CC(=O)OCC
116,ICI
117,CCc1ccc(C)cc1
118,CC#N
119,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
120,CC(C)Br
121,ClCCl
122,CCCO
123,CCCCOC
124,c1ccoc1
125,CSc1nc(NC(C)C)nc(NC(C)C)n1
126,CC(Cl)CCl
127,CC(C)c1ccccc1
128,CCOC=O
129,CCCCBr
130,CCc1ccc2ccccc2c1
131,CC(C)OC(=O)Nc1cccc(Cl)c1
132,ClC(Cl)(Cl)Cl
133,c1ccc2cc3cc4ccccc4cc3cc2c1
134,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
135,Cc1cccc(C)c1
136,O=C1CCCN1
137,Brc1ccccc1
138,Cc1ccc(Cl)cc1
139,C=Cc1ccccc1
140,N#Cc1ccccc1
141,CCN(CC)C(=S)SSC(=S)N(CC)CC
142,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
143,CCNc1nc(NC(C)(C)C)nc(OC)n1
144,Brc1ccc(Br)cc1
145,Clc1ccc2ccccc2c1
146,Cc1cccc(C)c1O
147,Clc1ccc(Cl)c(Cl)c1
148,OC1CCCCC1
149,Clc1ccccc1Cl
150,Oc1cc(Cl)c(Cl)cc1Cl
151,CCOC(=O)c1ccc(O)cc1
152,C1CCCCCC1
153,CN(C)c1ccccc1
154,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
155,OCC(O)CO
156,C=CCCC=C
157,COc1ccc(C=O)cc1
158,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
159,Sc1ccccc1
160,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C
161,CSSC
162,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
163,ClC=C(Cl)Cl
164,Cc1cccc(N)c1
165,CCCCCCc1ccccc1
166,CCc1ccccc1C
167,CCCC=O
168,CN(C)C(=O)SCCCCOc1ccccc1
169,CCOP(=S)(OCC)SCCSCC
170,CC(=O)c1ccccc1
171,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
172,Cc1ccccc1N
173,CC(O)c1ccccc1
174,OCc1ccccc1
175,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
176,CC(=O)Nc1ccccc1
177,OCC1OC(O)C(O)C(O)C1O
178,Oc1cccc2ccccc12
179,C1=Cc2cccc3cccc1c23
180,CON(C)C(=O)Nc1ccc(Cl)cc1
181,CC(C)CO
182,CCCCC
183,CCNC(=S)NCC
184,c1ccc2cnccc2c1
185,c1cncnc1
186,Cc1ccccc1
187,Oc1ccc(Cl)c(Cl)c1
188,Clc1cccc2ccccc12
189,CCC(C)(C)O
190,Oc1ccc(Cl)cc1
191,Oc1ccncc1
192,Clc1cccc(Br)c1
193,NC(=O)c1ccccc1
194,C1CCOCC1
195,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
196,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
197,CC(C)I
198,CCC(=O)OC
199,FC(F)(Cl)C(F)(F)Cl
200,Brc1ccccc1Br
201,Clc1ccc(Br)cc1
202,ClC(Cl)(Cl)C(Cl)(Cl)Cl
203,Cc1cccc2c(C)cccc12
204,CCCCOCCCC
205,Cc1cc2ccccc2cc1C
206,CCc1ccccc1CC
207,Cc1cc(C)c(C)cc1C
208,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
209,CCOC(=O)C=Cc1ccccc1
210,CCCOCCC
211,COCOC
212,CCC
213,CC(C)C(C)C
214,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
215,COCCCNc1nc(NC(C)C)nc(SC)n1
216,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
217,CC(=O)Nc1ccc(Br)cc1
218,CC(C)(C)c1ccc(O)cc1
219,CCCCCCCCBr
220,CN(C)C(=O)Nc1ccc(Cl)cc1
221,Nc1ccc(O)cc1
222,Brc1cc(Br)cc(Br)c1
223,CCC1CCCCC1
224,CCCCc1ccccc1
225,Nc1ccccc1Cl
226,COc1nc(NC(C)C)nc(NC(C)C)n1
227,CCOP(=O)(OCC)OCC
228,COc1ccc(Cl)cc1
229,CCCCCCCO
230,Cc1ccc2cc(C)ccc2c1
231,CCN(CC)c1ccccc1
232,Nc1ccccc1
233,CCOC(=O)c1ccccc1C(=O)OCC
234,C1CCOC1
235,Cc1ccc2ccccc2c1
236,Clc1cccc(Cl)c1Cl
237,CC(C)c1ccc(NC(=O)N(C)C)cc1
238,Oc1cccc(O)c1
239,NC(=O)c1cnccn1
240,Fc1ccccc1
241,OCC(O)C(O)C(O)C(O)CO
242,Oc1cccc(Cl)c1
243,CCCCCCC(C)O
244,CCNc1nc(NC(C)(C)C)nc(SC)n1
245,Nc1cccc(Cl)c1
246,CNc1ccccc1
247,Cc1cc(C)c(O)c(C)c1
248,CCC(C)CO
249,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
250,Clc1ccccc1
251,Oc1cc(Cl)cc(Cl)c1Cl
252,COc1ccccc1OCC(O)COC(N)=O
253,ClCCCCl
254,c1ccsc1
255,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
256,CCCC(C)O
257,Clc1cc(Cl)cc(Cl)c1
258,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
259,CCCCS
260,CCCc1ccccc1
261,CC(C)C(C)O
262,Oc1c(Cl)ccc(Cl)c1Cl
263,BrCCBr
264,CCCCCC=O
265,CCOCCOCC
266,ClCBr
267,COC=O
268,CCC(=O)CC
269,CCC(C)CC
270,Fc1cccc(F)c1
271,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
272,CCCCO
273,COP(=S)(OC)Oc1ccc(SC)c(C)c1
274,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
275,Cc1ccc(O)cc1C
276,Ic1ccccc1
277,CC=C(C)C
278,Oc1ccccc1Cl
279,CCCCCCBr
280,COc1ccccc1O
281,FC(F)(F)c1ccccc1
282,CCCCCCCCl
283,BrC(Br)(Br)Br
284,Cc1ccc(C)c2ccccc12
285,CC(Cl)(Cl)Cl
286,CCCCCC
287,CCNc1nc(NC(C)C)nc(OC)n1
288,Cc1cc(C)c2ccccc2c1
289,Oc1c(Cl)cc(Cl)cc1Cl
290,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
291,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
292,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
293,COc1ccc(NC(=O)N(C)C)cc1Cl
294,NNc1ccccc1
295,Cc1cc(C)cc(O)c1
296,CCCCSP(=O)(SCCCC)SCCCC
297,C1CCCCCCC1
298,CCCCCCCCCCCC(=O)OC
299,CCNc1nc(Cl)nc(NC(C)C)n1
300,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
301,CCCCCCC
302,Oc1ccc(O)cc1
303,CCCCCCCCCCCCCC
304,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
305,CNC(=O)Oc1cccc2ccccc12
306,OCC(O)C(O)CO
307,CNC(=O)C=C(C)OP(=O)(OC)OC
308,c1ccccc1
309,C1CCCCC1
310,CCC#N
311,ClCCCl
312,Cc1cc(C)c(C)c(C)c1C
313,Cn1ccc(=O)[nH]c1=O
314,CCCCC(O)CC
315,CCCCN(CC)C(=O)SCCC
316,Cc1ccc2c(ccc3ccccc32)c1
317,C=CC=C
318,CCI
319,CC1(C)C2CCC1(C)C(O)C2
320,COP(=S)(OC)SCC(=O)N(C)C=O
321,CCO
322,Cc1cccc(C)c1C
323,COC(=O)c1ccccc1
324,CCCCCC(C)O
325,Nc1ccccc1O
326,CC1CCCCC1
327,c1cc2ccc3cccc4ccc(c1)c2c34
328,CCCCCl
329,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
330,Nc1nc[nH]n1
331,BrCBr
332,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
333,CC(C)C(=O)C(C)C
334,ClCc1ccccc1
335,CCCCC(=O)CCCC
336,Oc1ccccc1O
337,Cc1ccc2cc3ccccc3cc2c1
338,CCc1cccc2ccccc12
339,Cc1ccc(C)cc1
340,CCC=O
341,CCOP(=S)(OCC)SCSCC
342,ClC(Cl)C(Cl)(Cl)Cl
343,C=CC=O
344,CNC(=O)Oc1ccc(N(C)C)c(C)c1
345,CCCC
346,CCCCCCCCCCCCO
347,CCCCC1(CC)C(=O)NC(=O)NC1=O
348,CC(=O)Nc1ccc(O)cc1
349,ClC(Cl)Cl
350,CCOc1ccccc1
351,CCC(O)CC
352,c1ccc2ncccc2c1
353,CCCCOC(=O)c1ccc(N)cc1
354,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
355,Cc1ccc(C)c(C)c1
356,CC(=O)Nc1ccc(Cl)cc1
357,Clc1cc(Cl)c(Cl)c(Cl)c1
358,CC(Cl)Cl
359,O=Cc1ccco1
360,CCc1ccccc1
361,CCc1ccccn1
362,CC(C)SC(C)C
363,Brc1cccc(Br)c1
364,CC(=O)C(C)(C)C
365,Cc1ccc(O)c(C)c1
366,C=CC#N
367,CC(C)C
368,CC(=O)Nc1ccc(F)cc1
369,Cc1ccccc1Cl
370,COc1ccccc1
371,Brc1cc(Br)c(Br)cc1Br
372,CNN
373,Oc1c(Cl)cccc1Cl
374,CCc1ccc(CC)cc1
375,ClC(Br)Br
376,CCCCCBr
377,CC(C)CCO
378,Oc1ccc(Br)cc1
379,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
380,Clc1ccc(Cl)c(Cl)c1Cl
381,CCC(C)(C)Cl
382,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
383,CCBr
384,CCCOC
385,CCC(C)O
